gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	Mean Missense MGAEntropy	Mean VEST Score	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree	oncogene score	tsg score	other score	driver score	majority vote class	majority vote cancer gene	training list class	oncogene p-value	oncogene q-value	tsg p-value	tsg q-value	driver p-value	driver q-value
PIK3CA	3207	0.00966183574879227	0.007246376811594203	0.0024154589371980675	0.9420289855072465	0.6135265700483091	0.5860833839787475	0.0024154589371980675	0.036231884057971016	0.5475840109732035	0.2806619982918377	0.8570362318840592	0.0	78.0	82.0	1.0	0.0	0.0	2.402585092994044e-09	401889.3	613.0	0.01079402	0.00023606048647872272	52.0	0.954	0.032999999999999995	0.013000000000000012	0.987	1	1	1	0.0	0.0	0.8041944709246902	0.8915700737618547	0.0	0.0
KRAS	570	0.00516795865633075	0.002583979328165375	0.002583979328165375	0.9767441860465116	0.8992248062015504	0.20904543989251845	0.002583979328165375	0.0103359173126615	0.22101895150702805	0.2604642744180837	0.9313126614987058	0.0	126.0	128.33333333333334	1.0	0.0	0.0	2.402585092994044e-09	259193.5	512.0	0.016331799999999997	0.00026884877629335227	37.0	0.952	0.032	0.016000000000000014	0.984	1	1	1	0.0	0.0	0.8065776930409915	0.8915700737618547	0.0	0.0
BCOR	5268	0.02631578947368421	0.1631578947368421	0.036842105263157884	0.4473684210526316	0.05263157894736842	0.9568468219457884	0.29473684210526313	0.03157894736842105	0.540315988855415	0.6584715392834354	0.7086000000000001	0.0	14.166666666666664	30.83333333333333	0.0	0.00033	0.93524	0.002803393216911089	377184.1	446.80162767039667	0.0421931	2.8665848400603443e-05	34.0	0.012	0.9719999999999999	0.016000000000000125	0.9839999999999999	2	1	2	0.9917063870352716	0.9999046711153481	0.0	0.0	0.0	0.0
SF3B1	3915	0.006622516556291391	0.019867549668874173	0.0	0.9536423841059604	0.5960264900662252	0.6213709408991306	0.01324503311258278	0.006622516556291391	0.6243981569371754	0.2699485845544929	0.8189337748344371	0.0	72.0	75.0	0.998003992015968	0.0	0.0	2.402585092994044e-09	736523.5	276.0	0.02981247	0.000372607947471609	161.0	0.951	0.03200000000000001	0.017000000000000015	0.983	1	1	1	0.0	0.0	0.8065776930409915	0.8915700737618547	0.0	0.0
BRAF	2301	0.0078125	0.01171875	0.00390625	0.921875	0.75390625	0.32215152660042073	0.015625	0.0390625	0.35071625024851544	0.28290064706909	0.8922187500000023	0.0	78.66666666666667	84.66666666666667	1.0	0.0	0.0	2.402585092994044e-09	305190.7	616.0	0.02459647	4.782796146716341e-05	42.0	0.9420000000000002	0.038000000000000006	0.019999999999999796	0.9800000000000002	1	1	1	0.0	0.0	0.7590085795996186	0.8721006564551421	0.0	0.0
ATRX	7479	0.024	0.192	0.032	0.46799999999999997	0.012	0.9940847297370962	0.272	0.012	0.5551824725166397	0.7685257031207947	0.69128	0.0	16.714285714285715	34.857142857142854	0.0	0.8576025744167337	0.8045052292839904	0.9460138099621346	548517.1	446.80162767039667	0.007779237	0.0002268819396966729	47.0	0.004	0.975	0.02100000000000002	0.979	2	1	2	0.9992373689227836	0.9999046711153481	0.0	0.0	0.0	0.0
AKT1	1443	0.0925925925925926	0.018518518518518517	0.0	0.8703703703703703	0.35185185185185186	0.6908416917032432	0.0	0.018518518518518517	0.7274116591120336	0.4390431851872763	0.653925925925926	0.0	7.833333333333332	8.166666666666666	0.9416195856873822	0.0	0.0	2.402585092994044e-09	711772.2	247.0	0.03599851	0.0027718450505091648	253.0	0.938	0.04	0.02200000000000002	0.978	1	1	1	0.0	0.0	0.7427073403241182	0.868561872909699	0.0	0.0
CREBBP	7329	0.05238095238095238	0.1523809523809524	0.03333333333333333	0.580952380952381	0.03333333333333333	0.9849152762365082	0.12857142857142856	0.05238095238095238	0.7125055098708463	0.5390839591295413	0.7156095238095236	0.0	10.166666666666666	16.583333333333332	0.0	0.10113	0.00333	0.003029563311188005	637890.5	242.0	0.03916608	0.0033700960949804605	305.0	0.016	0.961	0.02300000000000002	0.977	2	1	2	0.9825548141086751	0.9999046711153481	0.0	0.0	0.0	0.0
STAG2	3807	0.02083333333333333	0.22916666666666666	0.0625	0.4166666666666667	0.03125	0.9776636990514238	0.25	0.02083333333333333	0.5140795018260362	0.4332356277985	0.8264062500000001	0.0	13.333333333333336	31.33333333333333	0.0	0.1231678778174652	0.8986328365562262	0.35430503157508797	338292.0	446.80162767039667	0.007054011999999998	5.1366850859871664e-05	37.0	0.01	0.966	0.02400000000000002	0.976	2	1	2	0.9940896091515731	0.9999046711153481	0.0	0.0	0.0	0.0
NF1	8520	0.013745704467353952	0.2302405498281787	0.08247422680412371	0.4261168384879725	0.0	1.0	0.22336769759450173	0.024054982817869417	0.5095411638102545	0.4250810162858149	0.8546391752577319	0.0	24.8	57.4	0.0	1.0	0.9970089730807578	0.9999955224125608	462448.7	396.0	0.02610505	8.026580002201245e-05	26.0	0.004	0.9709999999999999	0.025000000000000133	0.9749999999999999	2	1	2	0.9992373689227836	0.9999046711153481	0.0	0.0	0.0	0.0
